character_name,story_name,primary_archetype,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_genres
Applejack,My Little Pony: Friendship Is Magic,Angel-Brute-Hero,exact,tt1751105,tvSeries,My Little Pony: Friendship Is Magic,2010.0,"Adventure,Animation,Comedy"
Twilight Sparkle,My Little Pony: Friendship Is Magic,Diva-Angel-Hero,exact,tt1751105,tvSeries,My Little Pony: Friendship Is Magic,2010.0,"Adventure,Animation,Comedy"
Rarity,My Little Pony: Friendship Is Magic,Sophisticate-Diva-Hero,exact,tt1751105,tvSeries,My Little Pony: Friendship Is Magic,2010.0,"Adventure,Animation,Comedy"
Pinkie Pie,My Little Pony: Friendship Is Magic,Adventurer,exact,tt1751105,tvSeries,My Little Pony: Friendship Is Magic,2010.0,"Adventure,Animation,Comedy"
Spike,My Little Pony: Friendship Is Magic,Angel-Outcast-Adventurer,exact,tt1751105,tvSeries,My Little Pony: Friendship Is Magic,2010.0,"Adventure,Animation,Comedy"
Princess Celestia,My Little Pony: Friendship Is Magic,Sophisticate-Angel-Hero,exact,tt1751105,tvSeries,My Little Pony: Friendship Is Magic,2010.0,"Adventure,Animation,Comedy"
Leroy Jethro Gibbs,NCIS,Hero,exact,tt0364845,tvSeries,NCIS,2003.0,"Action,Crime,Drama"
Anthony DiNozzo,NCIS,Hero-Brute-Adventurer,exact,tt0364845,tvSeries,NCIS,2003.0,"Action,Crime,Drama"
Abby Sciuto,NCIS,Geek-Hero-Adventurer,exact,tt0364845,tvSeries,NCIS,2003.0,"Action,Crime,Drama"
Donald Mallard,NCIS,Angel-Hero,exact,tt0364845,tvSeries,NCIS,2003.0,"Action,Crime,Drama"
Timothy McGee,NCIS,Traditionalist-Hero-Angel,exact,tt0364845,tvSeries,NCIS,2003.0,"Action,Crime,Drama"
Jimmy Palmer,NCIS,Angel,exact,tt0364845,tvSeries,NCIS,2003.0,"Action,Crime,Drama"
Wynonna Earp,Wynonna Earp,Hero-Demon-Adventurer,exact,tt4878326,tvSeries,Wynonna Earp,2016.0,"Action,Drama,Fantasy"
Doc Holliday,Wynonna Earp,Lone Wolf-Hero-Demon,exact,tt4878326,tvSeries,Wynonna Earp,2016.0,"Action,Drama,Fantasy"
Waverly Earp,Wynonna Earp,Hero-Angel-Adventurer,exact,tt4878326,tvSeries,Wynonna Earp,2016.0,"Action,Drama,Fantasy"
Nicole Haught,Wynonna Earp,Adventurer-Angel-Hero,exact,tt4878326,tvSeries,Wynonna Earp,2016.0,"Action,Drama,Fantasy"
Jeremy Chetri,Wynonna Earp,Geek-Angel,exact,tt4878326,tvSeries,Wynonna Earp,2016.0,"Action,Drama,Fantasy"
Rick Grimes,The Walking Dead,Hero,exact,tt0028478,movie,The Walking Dead,1936.0,"Crime,Drama,Horror"
Shane Walsh,The Walking Dead,Demon,exact,tt0028478,movie,The Walking Dead,1936.0,"Crime,Drama,Horror"
Lori Grimes,The Walking Dead,Brute-Outcast-Diva,exact,tt0028478,movie,The Walking Dead,1936.0,"Crime,Drama,Horror"
Andrea,The Walking Dead,Hero-Demon-Outcast,exact,tt0028478,movie,The Walking Dead,1936.0,"Crime,Drama,Horror"
Dale Horvath,The Walking Dead,Outcast-Hero-Angel,exact,tt0028478,movie,The Walking Dead,1936.0,"Crime,Drama,Horror"
Glenn Rhee,The Walking Dead,Hero-Angel,exact,tt0028478,movie,The Walking Dead,1936.0,"Crime,Drama,Horror"
Carl Grimes,The Walking Dead,Adventurer-Outcast-Hero,exact,tt0028478,movie,The Walking Dead,1936.0,"Crime,Drama,Horror"
Daryl Dixon,The Walking Dead,Outcast-Hero-Lone Wolf,exact,tt0028478,movie,The Walking Dead,1936.0,"Crime,Drama,Horror"
Carol Peletier,The Walking Dead,Hero,exact,tt0028478,movie,The Walking Dead,1936.0,"Crime,Drama,Horror"
Merle Dixon,The Walking Dead,Demon,exact,tt0028478,movie,The Walking Dead,1936.0,"Crime,Drama,Horror"
Neal Caffrey,White Collar,Sophisticate-Hero-Adventurer,exact,tt1358522,tvSeries,White Collar,2009.0,"Comedy,Crime,Drama"
Peter Burke,White Collar,Traditionalist-Hero,exact,tt1358522,tvSeries,White Collar,2009.0,"Comedy,Crime,Drama"
Mozzie,White Collar,Adventurer-Hero-Geek,exact,tt1358522,tvSeries,White Collar,2009.0,"Comedy,Crime,Drama"
Elizabeth Burke,White Collar,Adventurer-Angel-Hero,exact,tt1358522,tvSeries,White Collar,2009.0,"Comedy,Crime,Drama"
Clinton Jones,White Collar,Brute-Angel-Hero,exact,tt1358522,tvSeries,White Collar,2009.0,"Comedy,Crime,Drama"
Diana Barrigan,White Collar,Hero,exact,tt1358522,tvSeries,White Collar,2009.0,"Comedy,Crime,Drama"
Walter White,Breaking Bad,Demon-Hero,exact,tt0903747,tvSeries,Breaking Bad,2008.0,"Crime,Drama,Thriller"
