story_name,Adventurer,Angel,Demon,Fool,Hero,Traditionalist,is_comedy
30 Rock,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,1
8 Mile,0.0,0.0,0.0,0.0,1.0,0.0,0
A Nightmare on Elm Street,0.2,0.0,0.2,0.0,0.6,0.0,0
A Series of Unfortunate Events,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1
A Star Is Born,0.0,0.0,0.5,0.0,0.5,0.0,0
A Tale of Two Cities,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0
Adventures of Huckleberry Finn,0.5,0.0,0.0,0.0,0.5,0.0,0
After Life,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0
Aladdin,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,1
Alien,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0
American History X,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0
American Sniper,0.0,0.0,0.0,0.0,1.0,0.0,0
Amélie,0.0,1.0,0.0,0.0,0.0,0.0,1
Anna Karenina,0.0,0.3,0.4,0.1,0.2,0.0,0
Annie Hall,0.0,0.5,0.0,0.0,0.0,0.0,1
Arcane,0.1,0.0,0.0,0.0,0.9,0.0,0
Archer,0.0,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0
Arrested Development,0.0,0.1,0.6,0.2,0.1,0.0,1
Arrow,0.0,0.0,0.0,0.0,1.0,0.0,1
Atlas Shrugged,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0
Attack on Titan,0.1,0.1,0.1,0.0,0.7,0.0,0
Avatar: The Last Airbender,0.1,0.2,0.0,0.0,0.7,0.0,1
Baby Driver,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0
Back to the Future,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,1
Bad Boys,0.0,0.0,0.0,0.0,1.0,0.0,1
Band of Brothers,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0
Battlestar Galactica,0.0,0.13333333333333333,0.06666666666666667,0.0,0.8,0.0,0
Baywatch,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,1
Beauty and the Beast,0.0,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.0,0
Beowulf,0.0,0.0,0.0,0.0,1.0,0.0,0
Better Call Saul,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0
Bloodline,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0
Blue Bloods,0.0,0.0,0.0,0.0,1.0,0.0,0
Bob's Burgers,0.2,0.2,0.0,0.2,0.2,0.0,1
Bones,0.0,0.0,0.0,0.0,1.0,0.0,0
Booksmart,0.0,0.0,0.0,0.0,1.0,0.0,1
Breaking Bad,0.1,0.1,0.2,0.0,0.6,0.0,0
Broad City,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1
Brokeback Mountain,0.5,0.0,0.0,0.0,0.0,0.5,0
Brooklyn Nine-Nine,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,1
Buffy the Vampire Slayer,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,1
CSI: Crime Scene Investigation,0.0,0.0,0.0,0.0,1.0,0.0,0
Casablanca,0.0,0.0,0.0,0.0,1.0,0.0,0
Catch Me If You Can,0.0,0.0,0.0,0.0,1.0,0.0,0
Chicago Fire,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0
Chilling Adventures of Sabrina,0.0,0.2,0.2,0.0,0.6,0.0,0
Coco,0.0,0.6,0.2,0.0,0.2,0.0,1
Community,0.2,0.0,0.4,0.0,0.4,0.0,1
Cowboy Bebop,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,1
Crazy Ex-Girlfriend,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0,1
Criminal Minds,0.0,0.0,0.0,0.0,1.0,0.0,0
"Crouching Tiger, Hidden Dragon",0.0,0.0,0.0,0.0,1.0,0.0,0
