story_name,imdb_genres,label
(500) Days of Summer,"Comedy,Drama,Romance",1
10 Things I Hate About You,"Comedy,Drama,Romance",1
Before Sunrise,"Comedy,Drama,Romance",1
Black Swan,"Comedy,Drama",0
Boston Legal,"Comedy,Crime,Drama",1
Breakfast at Tiffany's,"Comedy,Drama,Romance",1
Castle,"Comedy,Crime,Drama",0
Cobra Kai,"Action,Comedy,Drama",0
Crazy Rich Asians,"Comedy,Drama,Romance",1
Desperate Housewives,"Comedy,Drama,Mystery",0
Elizabethtown,"Comedy,Drama,Romance",1
Emily in Paris,"Comedy,Drama,Romance",0
Fleabag,"Comedy,Drama",1
Gilmore Girls,"Comedy,Drama",0
Green Book,"Biography,Comedy,Drama",1
Groundhog Day,"Comedy,Drama,Fantasy",1
High School Musical,"Comedy,Drama,Family",0
How I Met Your Mother,"Comedy,Drama,Romance",1
Hustlers,"Comedy,Drama",0
Jane the Virgin,"Comedy,Drama",0
M*A*S*H,"Comedy,Drama,War",1
Modern Family,"Comedy,Drama,Romance",1
Orange is the New Black,"Comedy,Crime,Drama",0
Roman Holiday,"Comedy,Drama,Romance",1
Ruby Sparks,"Comedy,Drama,Fantasy",1
Scrubs,"Comedy,Drama",1
Sex and the City,"Comedy,Drama,Romance",0
Silver Linings Playbook,"Comedy,Drama,Romance",0
Sleepless in Seattle,"Comedy,Drama,Romance",0
Star Wars: Revenge of the Sith,"Comedy,Drama,Short",0
Steins;Gate,"Animation,Comedy,Drama",0
Ted Lasso,"Comedy,Drama,Sport",1
That 70's Show,"Comedy,Drama,Romance",1
The Big Sick,"Comedy,Drama,Romance",0
The Breakfast Club,"Comedy,Drama",1
The Devil Wears Prada,"Comedy,Drama",0
The Good Place,"Comedy,Drama,Fantasy",1
"The Good, the Bad, and the Ugly","Comedy,Drama,Family",0
The Marvelous Mrs. Maisel,"Comedy,Drama",1
This Is Us,"Comedy,Drama,Romance",0
Twelfth Night,"Comedy,Drama,Romance",0
WandaVision,"Action,Comedy,Drama",0
When Harry Met Sally...,"Comedy,Drama,Romance",1
White Collar,"Comedy,Crime,Drama",0
