story_name,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_endYear,imdb_runtimeMinutes,imdb_genres
My Little Pony: Friendship Is Magic,exact,tt1751105,tvSeries,My Little Pony: Friendship Is Magic,2010.0,2019.0,22.0,"Adventure,Animation,Comedy"
NCIS,exact,tt0364845,tvSeries,NCIS,2003.0,,60.0,"Action,Crime,Drama"
Wynonna Earp,exact,tt4878326,tvSeries,Wynonna Earp,2016.0,2021.0,43.0,"Action,Drama,Fantasy"
The Walking Dead,exact,tt0028478,movie,The Walking Dead,1936.0,,66.0,"Crime,Drama,Horror"
White Collar,exact,tt1358522,tvSeries,White Collar,2009.0,2014.0,40.0,"Comedy,Crime,Drama"
Breaking Bad,exact,tt0903747,tvSeries,Breaking Bad,2008.0,2013.0,48.0,"Crime,Drama,Thriller"
The Breakfast Club,exact,tt1487708,tvSeries,The Breakfast Club,1983.0,1985.0,60.0,Talk-Show
The Wizard of Oz,exact,tt0016544,movie,The Wizard of Oz,1925.0,,95.0,"Adventure,Comedy,Family"
This Is Us,exact,tt5555260,tvSeries,This Is Us,2016.0,2022.0,45.0,"Comedy,Drama,Romance"
Jane the Virgin,exact,tt3566726,tvSeries,Jane the Virgin,2014.0,2019.0,60.0,"Comedy,Drama"
John Wick,exact,tt2911666,movie,John Wick,2014.0,,101.0,"Action,Crime,Thriller"
Jurassic Park,exact,tt0107290,movie,Jurassic Park,1993.0,,127.0,"Action,Adventure,Sci-Fi"
The Bourne Identity,exact,tt0094791,tvMiniSeries,The Bourne Identity,1988.0,1988.0,93.0,"Action,Adventure,Drama"
Toy Story,exact,tt0847116,short,Toy Story,1992.0,,9.0,"Animation,Short"
The West Wing,exact,tt0200276,tvSeries,The West Wing,1999.0,2006.0,42.0,Drama
WandaVision,exact,tt9140560,tvMiniSeries,WandaVision,2021.0,2021.0,40.0,"Action,Comedy,Drama"
Hannibal,exact,tt0053891,movie,Hannibal,1959.0,,103.0,"Action,Adventure,Biography"
The Expanse,exact,tt3230854,tvSeries,The Expanse,2015.0,2022.0,60.0,"Drama,Mystery,Sci-Fi"
Black Swan,exact,tt0271400,movie,Black Swan,2002.0,,90.0,"Comedy,Drama"
Jane Eyre,exact,tt0290677,movie,Jane Eyre,1910.0,,62.0,Drama
Band of Brothers,exact,tt0185906,tvMiniSeries,Band of Brothers,2001.0,2001.0,60.0,"Action,Drama,History"
Friday Night Lights,exact,tt0390022,movie,Friday Night Lights,2004.0,,118.0,"Action,Drama,Sport"
Singin' in the Rain,exact,tt0045152,movie,Singin' in the Rain,1952.0,,103.0,"Comedy,Musical,Romance"
Schitt's Creek,exact,tt3526078,tvSeries,Schitt's Creek,2015.0,2020.0,22.0,Comedy
Peaky Blinders,exact,tt2442560,tvSeries,Peaky Blinders,2013.0,2022.0,60.0,"Crime,Drama"
The Land Before Time,exact,tt0095489,movie,The Land Before Time,1988.0,,69.0,"Adventure,Animation,Drama"
Little Women,exact,tt0219883,movie,Little Women,1917.0,,,"Drama,Family,Romance"
Star Wars: The Last Jedi,exact,tt3486354,short,Star Wars: The Last Jedi,2008.0,,3.0,"Action,Fantasy,Sci-Fi"
Fifty Shades of Grey,exact,tt2322441,movie,Fifty Shades of Grey,2015.0,,125.0,"Drama,Romance,Thriller"
Money Heist,exact,tt6468322,tvSeries,Money Heist,2017.0,2021.0,60.0,"Action,Crime,Drama"
High School Musical,exact,tt0475293,tvMovie,High School Musical,2006.0,,98.0,"Comedy,Drama,Family"
